Id,Company_Name,Level,Parent,Partner_Type,Source,Industry_csimarket,NAICS_code,NAICS_code_2_digit
C1,Caterpillar Inc,T0,,Supplier,BoL,Construction & Mining Machinery,3331,33
C2,Perkins Engines Company Limited,T1,Caterpillar Inc,Supplier,BoL,Electrical Equipment Manufacturing,3353,33
C3,Caterpillar Logistics (Shanghai) Co,T1,Caterpillar Inc,Supplier,BoL,Scheduled Freight Air Transportation,481112,48
C4,Caterpillar of Delaware Inc,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C5,Wacker Neuson Linz Gmbh,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C6,Caterpillar Paving Products Inc,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C7,Caterpillar France Sa,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C8,Caterpillar Africa Pty Ltd,T1,Caterpillar Inc,Supplier,BoL,Hunting and Trapping,1142,11
C9,Caterpillar Suzhou Logistics,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C10,"Mitsubishi Nichiyu Forklift Co.,Ltd",T1,Caterpillar Inc,Supplier,BoL,Hunting and Trapping,1142,11
C11,Caterpillar Americas Cv,T1,Caterpillar Inc,Supplier,BoL,Other Electronic Parts and Equipment Merchant Wholesalers,42369,42
C12,Caterpillar Global Mining Europe,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C13,Asiatrak Tianjin Ltd.,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C14,Caterpillar India Pvt Ltd,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C15,Caterpillar Reman Drivetrain,T1,Caterpillar Inc,Importer,BoL,Other Electronic Parts and Equipment Merchant Wholesalers,42369,42
C16,Metalurgica Peruana S.a.,T1,Caterpillar Inc,Supplier,BoL,Steel Investment Foundries,331512,33
C17,Caterpillar Materiels Routiers,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C18,Caterpillar Hungary / Components,T1,Caterpillar Inc,Importer,BoL,Steel Investment Foundries,331512,33
C19,Caterpillar Belgium S a,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C20,Caterpillar Brasil Comercio,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C21,Caterpillar Wujiang Ltd,T1,Caterpillar Inc,Supplier,BoL,Construction Machinery Manufacturing,333120,33
C22,Caterpillar Work Tools,T1,Caterpillar Inc,Supplier,BoL,Construction,23,23
C23,"Caterpillar (China) Investment Co.,",T1,Caterpillar Inc,Supplier,BoL,Industrial Machinery Manufacturing,3332,33
C24,Caterpillar Undercarriage Xuzhou Co,T1,Caterpillar Inc,Supplier,BoL,Electrical Equipment Manufacturing,3353,33
C25,Caterpillar Torreon S De Rl De,T1,Caterpillar Inc,Supplier,BoL,Metal Ore Mining,2122,21
C26,Caterpillar Distribution Services E,T1,Caterpillar Inc,Supplier,BoL,Hunting and Trapping,1142,11
